method,noise,f1_mean,ci_low,ci_high,n_docs
rules,clean,0.9270017075229596,0.9122373300370828,0.9424724602203183,30
llm,clean,0.9142714285714285,0.8952380952380953,0.9357142857142857,30
rules,moderate,0.9217418744336575,0.9024962144622991,0.9408903305455029,30
llm,moderate,0.9119880952380952,0.8904761904761904,0.9357142857142857,30
rules,heavy,0.8638676310254534,0.8467741935483871,0.8797886393659181,30
llm,heavy,0.905942210371739,0.8859475198021446,0.9269461077844311,30
rules,severe,0.5790634140809777,0.49823321554770317,0.6467817896389325,30
llm,severe,0.6691431773422589,0.583465018908698,0.7386704545454545,30
rules,extreme,0.0,0.0,0.0,30
llm,extreme,0.023315538297636267,0.0,0.05429864253393665,30
