method,noise,field,category,count
rules,extreme,age,layout_artifact,22
rules,extreme,age,missing,8
rules,extreme,ampm,layout_artifact,20
rules,extreme,ampm,missing,10
rules,extreme,date,layout_artifact,29
rules,extreme,date,missing,1
rules,extreme,hr,layout_artifact,29
rules,extreme,hr,missing,1
rules,extreme,muac,layout_artifact,30
rules,extreme,name,layout_artifact,29
rules,extreme,name,substitution,1
rules,extreme,presenting_complaint,layout_artifact,29
rules,extreme,presenting_complaint,substitution,1
rules,extreme,rr,layout_artifact,30
rules,extreme,sat,layout_artifact,30
rules,extreme,sex,layout_artifact,30
rules,extreme,temperature,layout_artifact,30
rules,extreme,time,layout_artifact,30
rules,extreme,triage_color,layout_artifact,22
rules,extreme,triage_color,missing,8
rules,extreme,weight,layout_artifact,27
rules,extreme,weight,missing,3
rules,heavy,age,missing,1
rules,heavy,ampm,missing,20
rules,heavy,ampm,substitution,5
rules,heavy,hr,missing,1
rules,heavy,presenting_complaint,substitution,1
rules,heavy,rr,missing,1
rules,heavy,sex,layout_artifact,2
rules,heavy,sex,missing,28
rules,heavy,temperature,missing,3
rules,heavy,time,missing,1
rules,heavy,triage_color,missing,29
rules,heavy,weight,missing,4
rules,severe,age,missing,8
rules,severe,ampm,layout_artifact,4
rules,severe,ampm,missing,13
rules,severe,date,layout_artifact,5
rules,severe,hr,layout_artifact,19
rules,severe,muac,layout_artifact,6
rules,severe,muac,missing,6
rules,severe,name,layout_artifact,4
rules,severe,name,substitution,4
rules,severe,presenting_complaint,layout_artifact,21
rules,severe,presenting_complaint,missing,2
rules,severe,presenting_complaint,substitution,5
rules,severe,rr,layout_artifact,6
rules,severe,rr,missing,22
rules,severe,sat,layout_artifact,17
rules,severe,sex,layout_artifact,12
rules,severe,sex,missing,18
rules,severe,temperature,layout_artifact,19
rules,severe,time,layout_artifact,5
rules,severe,triage_color,missing,30
rules,severe,weight,layout_artifact,14
rules,severe,weight,missing,5
llm,extreme,age,layout_artifact,22
llm,extreme,age,missing,8
llm,extreme,ampm,layout_artifact,20
llm,extreme,ampm,missing,10
llm,extreme,date,hallucination,1
llm,extreme,date,layout_artifact,28
llm,extreme,hr,layout_artifact,29
llm,extreme,hr,missing,1
llm,extreme,muac,layout_artifact,30
llm,extreme,name,layout_artifact,29
llm,extreme,name,substitution,1
llm,extreme,presenting_complaint,layout_artifact,29
llm,extreme,presenting_complaint,missing,1
llm,extreme,rr,layout_artifact,30
llm,extreme,sat,layout_artifact,29
llm,extreme,sat,substitution,1
llm,extreme,sex,layout_artifact,30
llm,extreme,temperature,layout_artifact,30
llm,extreme,time,hallucination,1
llm,extreme,time,layout_artifact,28
llm,extreme,triage_color,hallucination,1
llm,extreme,triage_color,layout_artifact,22
llm,extreme,triage_color,missing,4
llm,extreme,weight,layout_artifact,27
llm,extreme,weight,missing,3
llm,heavy,ampm,missing,1
llm,heavy,ampm,substitution,16
llm,heavy,hr,missing,1
llm,heavy,sex,layout_artifact,1
llm,heavy,sex,substitution,12
llm,heavy,temperature,missing,3
llm,heavy,triage_color,substitution,5
llm,heavy,weight,substitution,3
llm,severe,age,hallucination,1
llm,severe,age,missing,4
llm,severe,ampm,layout_artifact,4
llm,severe,ampm,missing,4
llm,severe,ampm,substitution,8
llm,severe,date,layout_artifact,5
llm,severe,hr,layout_artifact,19
llm,severe,muac,layout_artifact,6
llm,severe,muac,missing,3
llm,severe,name,layout_artifact,4
llm,severe,name,missing,1
llm,severe,name,substitution,3
llm,severe,presenting_complaint,layout_artifact,21
llm,severe,presenting_complaint,missing,4
llm,severe,rr,layout_artifact,5
llm,severe,rr,missing,12
llm,severe,sat,layout_artifact,17
llm,severe,sex,layout_artifact,12
llm,severe,sex,substitution,4
llm,severe,temperature,layout_artifact,18
llm,severe,time,hallucination,1
llm,severe,time,layout_artifact,5
llm,severe,triage_color,missing,13
llm,severe,triage_color,substitution,5
llm,severe,weight,layout_artifact,14
llm,severe,weight,substitution,2
