noise,field,f1,method
clean,date,1.0,rules
clean,time,1.0,rules
clean,ampm,0.5,rules
clean,name,1.0,rules
clean,age,1.0,rules
clean,sex,0.667,rules
clean,presenting_complaint,0.983,rules
clean,triage_color,0.929,rules
clean,rr,1.0,rules
clean,hr,1.0,rules
clean,sat,0.846,rules
clean,temperature,1.0,rules
clean,weight,1.0,rules
clean,muac,0.983,rules
moderate,date,1.0,rules
moderate,time,1.0,rules
moderate,ampm,0.5,rules
moderate,name,1.0,rules
moderate,age,0.983,rules
moderate,sex,0.605,rules
moderate,presenting_complaint,1.0,rules
moderate,triage_color,0.909,rules
moderate,rr,1.0,rules
moderate,hr,1.0,rules
moderate,sat,0.846,rules
moderate,temperature,1.0,rules
moderate,weight,0.983,rules
moderate,muac,0.983,rules
heavy,date,1.0,rules
heavy,time,0.983,rules
heavy,ampm,0.25,rules
heavy,name,1.0,rules
heavy,age,0.983,rules
heavy,sex,0.0,rules
heavy,presenting_complaint,0.967,rules
heavy,triage_color,0.065,rules
heavy,rr,0.983,rules
heavy,hr,0.983,rules
heavy,sat,1.0,rules
heavy,temperature,0.947,rules
heavy,weight,0.929,rules
heavy,muac,1.0,rules
severe,date,0.909,rules
severe,time,0.909,rules
severe,ampm,0.605,rules
severe,name,0.786,rules
severe,age,0.846,rules
severe,sex,0.0,rules
severe,presenting_complaint,0.108,rules
severe,triage_color,0.0,rules
severe,rr,0.125,rules
severe,hr,0.537,rules
severe,sat,0.605,rules
severe,temperature,0.537,rules
severe,weight,0.537,rules
severe,muac,0.75,rules
extreme,date,0.0,rules
extreme,time,0.0,rules
extreme,ampm,0.0,rules
extreme,name,0.0,rules
extreme,age,0.0,rules
extreme,sex,0.0,rules
extreme,presenting_complaint,0.0,rules
extreme,triage_color,0.0,rules
extreme,rr,0.0,rules
extreme,hr,0.0,rules
extreme,sat,0.0,rules
extreme,temperature,0.0,rules
extreme,weight,0.0,rules
extreme,muac,0.0,rules
clean,date,1.0,llm
clean,time,1.0,llm
clean,ampm,0.4,llm
clean,name,1.0,llm
clean,age,1.0,llm
clean,sex,0.6,llm
clean,presenting_complaint,1.0,llm
clean,triage_color,0.8,llm
clean,rr,1.0,llm
clean,hr,1.0,llm
clean,sat,1.0,llm
clean,temperature,1.0,llm
clean,weight,1.0,llm
clean,muac,1.0,llm
moderate,date,1.0,llm
moderate,time,1.0,llm
moderate,ampm,0.467,llm
moderate,name,1.0,llm
moderate,age,1.0,llm
moderate,sex,0.633,llm
moderate,presenting_complaint,1.0,llm
moderate,triage_color,0.733,llm
moderate,rr,1.0,llm
moderate,hr,1.0,llm
moderate,sat,1.0,llm
moderate,temperature,1.0,llm
moderate,weight,0.967,llm
moderate,muac,1.0,llm
heavy,date,1.0,llm
heavy,time,1.0,llm
heavy,ampm,0.441,llm
heavy,name,1.0,llm
heavy,age,1.0,llm
heavy,sex,0.576,llm
heavy,presenting_complaint,1.0,llm
heavy,triage_color,0.833,llm
heavy,rr,1.0,llm
heavy,hr,0.983,llm
heavy,sat,1.0,llm
heavy,temperature,0.947,llm
heavy,weight,0.9,llm
heavy,muac,1.0,llm
severe,date,0.909,llm
severe,time,0.873,llm
severe,ampm,0.538,llm
severe,name,0.8,llm
severe,age,0.893,llm
severe,sex,0.583,llm
severe,presenting_complaint,0.286,llm
severe,triage_color,0.511,llm
severe,rr,0.605,llm
severe,hr,0.537,llm
severe,sat,0.605,llm
severe,temperature,0.571,llm
severe,weight,0.609,llm
severe,muac,0.824,llm
extreme,date,0.062,llm
extreme,time,0.062,llm
extreme,ampm,0.0,llm
extreme,name,0.0,llm
extreme,age,0.0,llm
extreme,sex,0.0,llm
extreme,presenting_complaint,0.0,llm
extreme,triage_color,0.176,llm
extreme,rr,0.0,llm
extreme,hr,0.0,llm
extreme,sat,0.0,llm
extreme,temperature,0.0,llm
extreme,weight,0.0,llm
extreme,muac,0.0,llm
